Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,DEF_POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Асен Великов, Обрад Томич, Демаркъс Шарп","Академик Бултекс 99|1,10,13,14,9",3,7.7,459.0,20,7,13,53.8,2,6,33.3,4,5,80.0,0,0,0,5,0,0,3,0,12,18.2,15.2,109.9,78.9,30.9,2.61,8
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Венцислав Петков, Ламонт Уест","Черно море Тича|0,24,3,35,5",5,7.4,446.0,17,5,15,33.3,3,11,27.3,4,4,100.0,0,0,0,2,0,0,3,0,12,19.8,17.8,86.0,67.3,18.8,2.29,5
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Кръстомир Михов, Грант Сингълтън, Томислав Минков","Локомотив Пловдив|0,14,33,5,9",6,7.3,439.0,24,7,16,43.8,4,10,40.0,6,8,75.0,0,0,0,2,0,0,0,0,12,19.5,12.9,123.0,93.2,29.8,3.28,12
Шумен,"Уилям Елис, Джейлън Барр, Костадин Лазаров, Майкъл Марш, Баръш Мустафа","Шумен|2,33,44,5,7",3,7.3,438.0,21,8,17,47.1,3,8,37.5,2,3,66.7,0,0,0,4,0,0,0,0,16,18.3,12.6,114.6,126.6,-12.0,2.88,5
Балкан,"Травис Макконико, Тадж Грийн, Константин Тошков, Димитър Димитров, Илиян Пищиков","Балкан|1,12,22,34,7",3,5.7,344.0,10,3,5,60.0,1,3,33.3,3,6,50.0,0,0,0,3,0,0,4,0,13,11.6,12.8,85.9,101.9,-16.0,1.74,-3
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Асен Великов, Обрад Томич, Константин Паисиев","Академик Бултекс 99|1,10,13,14,4",2,5.7,340.0,10,3,8,37.5,0,1,0.0,4,5,80.0,0,0,0,1,0,0,3,0,12,13.2,18.2,75.8,65.9,9.8,1.76,-2
Балкан,"Джамари Блекмон, Травис Макконико, Тадж Грийн, Димитър Димитров, Илиян Пищиков","Балкан|0,1,12,34,7",4,5.4,326.0,14,5,11,45.5,2,7,28.6,2,2,100.0,0,0,0,2,0,0,2,0,4,13.9,10.3,100.9,38.8,62.1,2.58,10
Черно море Тича,"Алонзо Гафни, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|0,24,3,5,8",5,4.5,271.0,13,2,4,50.0,0,1,0.0,9,14,64.3,0,0,0,1,0,0,1,0,7,11.2,10.8,116.5,65.1,51.4,2.88,6
Ботев 2012 Враца,"Михаил Калинов, Стефан Михайлов, Дейвид Хоутън, Иво Корестилов, Георги Герганов","Ботев 2012 Враца|1,33,41,6,77",3,4.3,259.0,8,2,6,33.3,0,3,0.0,4,6,66.7,0,0,0,1,0,0,1,0,8,9.6,7.4,83.0,107.5,-24.5,1.85,0
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Кръстомир Михов","Локомотив Пловдив|0,14,21,24,33",3,4.0,240.0,8,3,7,42.9,1,4,25.0,1,2,50.0,0,0,0,2,0,0,0,0,8,7.9,14.8,101.5,54.2,47.3,2.0,0
Спартак Плевен,"Джейлан Макклауд, Мартин Русев, Кавон Скот, Ноел Браун, Павлин Иванов","Спартак Плевен|1,2,21,24,28",2,3.9,231.0,8,0,2,0.0,0,2,0.0,8,11,72.7,0,0,0,1,0,0,2,0,10,8.8,8.9,90.5,112.6,-22.1,2.08,-2
Черно море Тича,"Алонзо Гафни, Джелани Уотсън-Гейл, Венцислав Петков, Ламонт Уест, Николай Стоянов","Черно море Тича|0,3,35,5,8",2,3.9,233.0,5,2,6,33.3,0,2,0.0,1,3,33.3,0,0,0,1,0,0,1,0,5,8.3,6.8,60.1,74.0,-13.9,1.29,0
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Николай Михайлов, Обрад Томич, Райт-Рииво Лаане","Академик Бултекс 99|1,10,11,14,4",2,3.7,224.0,11,4,12,33.3,2,8,25.0,1,2,50.0,0,0,0,2,0,0,0,0,5,12.9,6.0,85.4,83.3,2.1,2.95,6
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Шоу Андерсън, Кръстомир Михов, Томислав Минков","Локомотив Пловдив|0,14,24,33,9",2,3.3,196.0,8,1,4,25.0,0,3,0.0,6,9,66.7,0,0,0,1,0,0,1,0,11,9.0,11.6,89.3,94.5,-5.2,2.45,-3
Спартак Плевен,"Джейлан Макклауд, Мартин Русев, Кавон Скот, Павлин Иванов, Джон Флорвиъс","Спартак Плевен|1,2,21,28,32",1,3.2,191.0,8,3,6,50.0,1,2,50.0,1,1,100.0,0,0,0,0,0,0,0,0,8,6.4,4.8,124.2,168.1,-43.8,2.51,0
Ботев 2012 Враца,"Михаил Калинов, Стефан Михайлов, Дейвид Хоутън, Ивайло Христов, Георги Герганов","Ботев 2012 Враца|1,33,41,5,77",2,3.2,191.0,6,1,4,25.0,1,2,50.0,3,6,50.0,0,0,0,2,0,0,1,0,8,7.6,7.9,78.5,101.5,-23.0,1.88,-2
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Николай Михайлов, Роджър Хемпфил, Райт-Рииво Лаане","Академик Бултекс 99|1,10,11,32,4",1,3.1,187.0,4,1,5,20.0,0,4,0.0,2,2,100.0,0,0,0,0,0,0,0,0,10,5.9,7.8,68.0,128.9,-60.8,1.28,-6
Черно море Тича,"Алонзо Гафни, Иван Карачич, Георги Боянов, Джелани Уотсън-Гейл, Николай Стоянов","Черно море Тича|0,21,24,3,8",2,3.0,181.0,9,2,4,50.0,2,2,100.0,3,4,75.0,0,0,0,1,0,0,0,0,4,5.8,5.9,156.2,68.0,88.2,2.98,5
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Томислав Минков","Локомотив Пловдив|0,14,21,24,9",3,3.0,183.0,7,3,8,37.5,1,5,20.0,0,0,0,0,0,0,1,0,0,0,0,5,8.0,5.9,87.5,85.0,2.5,2.3,2
Балкан,"Джамари Блекмон, Тадж Грийн, Константин Тошков, Николай Грозев, Алекс Симеонов","Балкан|0,12,22,33,9",2,3.0,178.0,10,3,5,60.0,1,2,50.0,3,3,100.0,0,0,0,1,0,0,0,0,10,6.3,10.2,158.2,98.0,60.2,3.37,0
Рилски спортист,"Алън Арнет, Деян Карамфилов, Александър Георгиев, Мирослав Васов, Майкъл Едуардс","Рилски спортист|0,1,12,23,7",2,3.0,177.0,3,1,4,25.0,1,2,50.0,0,0,0,0,0,0,1,0,0,2,0,8,6.0,7.2,50.0,111.1,-61.1,1.02,-5
Балкан,"Джамари Блекмон, Травис Макконико, Тадж Грийн, Константин Тошков, Димитър Димитров","Балкан|0,1,12,22,34",1,2.9,176.0,5,2,6,33.3,1,4,25.0,0,0,0,0,0,0,0,0,0,1,0,14,7.0,6.4,71.4,218.8,-147.3,1.7,-9
Ботев 2012 Враца,"Михаил Калинов, Кортни Александър ii, Стефан Михайлов, Дейвид Хоутън, Георги Герганов","Ботев 2012 Враца|1,2,33,41,77",3,2.9,176.0,7,3,5,60.0,1,2,50.0,0,3,0.0,0,0,0,2,0,0,0,0,11,6.3,9.9,110.8,111.3,-0.6,2.39,-4
Рилски спортист,"Алън Арнет, Александър Георгиев, Джонатан Дейвис, Майкъл Едуардс, Чавдар Костов","Рилски спортист|0,12,3,7,8",2,2.9,171.0,5,1,5,20.0,0,2,0.0,3,3,100.0,0,0,0,0,0,0,2,0,10,8.3,11.2,60.1,89.3,-29.2,1.75,-5
Миньор 2015,"Филип Бакич, Лазар Станкович, Лъчезар Тошков, Игор Кесар, Денис Григоров","Миньор 2015|12,16,24,8,88",1,2.9,174.0,11,1,2,50.0,0,0,0,9,11,81.8,0,0,0,1,0,0,1,0,5,7.8,9.8,140.3,51.2,89.1,3.79,6
Рилски спортист,"Алън Арнет, Деян Карамфилов, Мирослав Васов, Христо Бъчков, Майкъл Едуардс","Рилски спортист|0,1,23,35,7",1,2.9,172.0,7,2,3,66.7,0,0,0,3,4,75.0,0,0,0,1,0,0,2,0,3,6.8,5.9,103.6,51.0,52.5,2.44,4
Шумен,"Мирослав Денчев, Джейлън Барр, Андрия Блатанчич, Костадин Лазаров, Баръш Мустафа","Шумен|10,33,4,44,7",1,2.9,173.0,11,4,6,66.7,1,2,50.0,2,4,50.0,0,0,0,2,0,0,0,0,11,7.8,7.0,141.8,157.1,-15.4,3.82,0
Балкан,"Джамари Блекмон, Травис Макконико, Тадж Грийн, Илиян Пищиков, Алекс Симеонов","Балкан|0,1,12,7,9",2,2.8,165.0,6,2,4,50.0,0,0,0,2,3,66.7,0,0,0,1,0,0,1,0,4,6.3,8.2,94.9,48.8,46.2,2.18,2
Берое-Стара Загора,"Джален Бенджамин, Милен Захариев, Александър Матушев, Дейлън Уилямс, Брет Риид","Берое-Стара Загора|13,19,27,7,9",3,2.8,168.0,9,2,4,50.0,0,2,0.0,5,6,83.3,0,0,0,2,0,0,0,0,3,6.6,7.0,135.5,42.9,92.7,3.21,6
Балкан,"Джоунс Пагенкопф, Константин Тошков, Демонд Робинсън, Илиян Пищиков, Алекс Симеонов","Балкан|10,22,3,7,9",1,2.8,169.0,10,4,7,57.1,2,5,40.0,0,0,0,0,0,0,2,0,0,0,0,7,7.0,4.9,142.9,143.4,-0.6,3.55,3
Берое-Стара Загора,"Джален Бенджамин, Милен Захариев, Дейлън Уилямс, Николай Иванов, Брет Риид","Берое-Стара Загора|13,19,7,86,9",1,2.8,165.0,7,2,6,33.3,0,2,0.0,3,3,100.0,0,0,0,0,0,0,0,0,12,7.3,7.3,95.6,163.9,-68.3,2.55,-5
Рилски спортист,"Алън Арнет, Александър Георгиев, Мирослав Васов, Камау Стоукс, Джейлън Томас","Рилски спортист|0,12,23,3,4",1,2.8,170.0,2,0,4,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,6,4.9,6.8,41.0,88.8,-47.8,0.71,-4
Балкан,"Джоунс Пагенкопф, Николай Грозев, Димитър Димитров, Кортни Алекзандър, Илиян Пищиков","Балкан|10,33,34,6,7",1,2.8,170.0,6,1,5,20.0,0,2,0.0,4,4,100.0,0,0,0,1,0,0,0,0,2,6.8,4.9,88.8,41.0,47.8,2.12,4
Ботев 2012 Враца,"Михаил Калинов, Кортни Александър ii, Кристиян Занов, Стефан Михайлов, Георги Герганов","Ботев 2012 Враца|1,2,3,33,77",1,2.7,164.0,9,3,5,60.0,2,2,100.0,1,1,100.0,0,0,0,1,0,0,0,0,2,5.4,6.0,165.4,33.3,132.1,3.29,7
Берое-Стара Загора,"Александър Милов, Мартин Йорданов, Дешон Пърсънс, Дариъс Куинсбери, Айзък Джесъп","Берое-Стара Загора|10,12,13,3,40",1,2.7,161.0,12,3,5,60.0,1,1,100.0,5,5,100.0,0,0,0,1,0,0,1,0,3,8.2,7.9,146.3,38.1,108.3,4.47,9
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Николай Михайлов, Асен Великов, Обрад Томич","Академик Бултекс 99|1,10,11,13,14",3,2.6,155.0,5,2,8,25.0,0,4,0.0,1,1,100.0,0,0,0,3,0,0,1,0,5,9.4,6.0,53.0,83.3,-30.4,1.94,0
Шумен,"Мирослав Денчев, Уилям Елис, Баръш Мустафа, Владислав Станев, Клемен Вуга","Шумен|10,2,7,88,9",1,2.5,151.0,2,1,3,33.3,0,0,0,0,1,0.0,0,0,0,0,0,0,2,0,5,5.4,4.4,36.8,112.6,-75.8,0.79,-3
Балкан,"Джамари Блекмон, Джоунс Пагенкопф, Константин Тошков, Демонд Робинсън, Димитър Димитров","Балкан|0,10,22,3,34",3,2.5,152.0,2,1,1,100.0,0,0,0,0,1,0.0,0,0,0,1,0,0,1,0,7,2.4,5.2,82.0,134.6,-52.6,0.79,-5
Рилски спортист,"Алън Арнет, Камау Стоукс, Христо Бъчков, Майкъл Едуардс, Чавдар Костов","Рилски спортист|0,3,35,7,8",1,2.5,150.0,5,1,4,25.0,0,0,0,3,4,75.0,0,0,0,0,0,0,1,0,4,6.8,5.6,74.0,70.9,3.0,2.0,1
Черно море Тича,"Даръл Дейвис, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|17,24,3,5,8",1,2.4,141.0,0,0,2,0.0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,7,2.9,5.3,0.0,131.6,-131.6,0.0,-7
Миньор 2015,"Васил Попов, Джордан Тали, Остин Прайс, Алекс Уандие, Игор Кесар","Миньор 2015|15,2,31,34,8",2,2.4,145.0,11,3,4,75.0,0,1,0.0,5,6,83.3,0,0,0,0,0,0,1,0,4,7.6,6.0,144.0,66.7,77.3,4.55,7
Локомотив Пловдив,"Кхалил Милър, Шоу Андерсън, Кръстомир Михов, Грант Сингълтън, Томислав Минков","Локомотив Пловдив|14,24,33,5,9",1,2.3,139.0,3,1,3,33.3,1,1,100.0,0,0,0,0,0,0,1,0,0,1,0,3,4.0,6.0,75.0,50.0,25.0,1.29,0
Спартак Плевен,"Джейлан Макклауд, Кавон Скот, Ноел Браун, Мартин Сотиров, Николай Титков","Спартак Плевен|1,21,24,4,5",2,2.3,137.0,4,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4.0,4.0,100.0,125.0,-25.0,1.75,-1
Балкан,"Джамари Блекмон, Джоунс Пагенкопф, Константин Тошков, Демонд Робинсън, Алекс Симеонов","Балкан|0,10,22,3,9",1,2.3,140.0,2,1,3,33.3,0,1,0.0,0,1,0.0,0,0,0,0,0,0,1,0,5,4.4,4.8,45.0,105.0,-60.0,0.86,-3
Ботев 2012 Враца,"Михаил Калинов, Станислав Хинков, Дейвид Хоутън, Иво Корестилов, Георги Герганов","Ботев 2012 Враца|1,24,41,6,77",2,2.3,138.0,3,1,4,25.0,0,1,0.0,1,1,100.0,0,0,0,0,0,0,0,0,6,4.4,3.0,67.6,200.0,-132.4,1.3,-3
Локомотив Пловдив,"Кхалил Милър, Йоанис Кикрилис, Шоу Андерсън, Куинтън Минси, Кръстомир Михов","Локомотив Пловдив|14,21,24,3,33",1,2.3,140.0,7,2,4,50.0,1,2,50.0,2,4,50.0,0,0,0,0,0,0,0,0,2,5.8,5.9,121.5,34.0,87.5,3.0,5
Черно море Тича,"Марин Маринов, Иван Карачич, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест","Черно море Тича|13,21,24,3,5",1,2.2,130.0,3,1,6,16.7,0,1,0.0,1,2,50.0,0,0,0,1,0,0,0,0,9,6.9,5.9,43.6,153.1,-109.5,1.38,-6
Рилски спортист,"Деян Карамфилов, Джонатан Дейвис, Христо Бъчков, Майкъл Едуардс, Чавдар Костов","Рилски спортист|1,3,35,7,8",1,2.2,132.0,5,2,3,66.7,1,2,50.0,0,0,0,0,0,0,1,0,0,1,0,2,4.0,4.9,125.0,41.0,84.0,2.27,3
Локомотив Пловдив,"Георги Кендеров, Йоанис Кикрилис, Шоу Андерсън, Кръстомир Михов, Томислав Минков","Локомотив Пловдив|16,21,24,33,9",1,2.2,132.0,2,0,4,0.0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,5,4.9,4.0,41.0,125.0,-84.0,0.91,-3
Берое-Стара Загора,"Милен Захариев, Александър Матушев, Дариъс Куинсбери, Дейлън Уилямс, Брет Риид","Берое-Стара Загора|19,27,3,7,9",3,2.2,133.0,6,3,5,60.0,0,1,0.0,0,2,0.0,0,0,0,3,0,0,0,0,7,5.9,7.8,102.0,90.2,11.8,2.71,-1
Рилски спортист,"Алън Арнет, Деян Карамфилов, Александър Георгиев, Камау Стоукс, Майкъл Едуардс","Рилски спортист|0,1,12,3,7",1,2.2,135.0,7,1,2,50.0,0,0,0,5,6,83.3,0,0,0,1,0,0,0,0,0,4.6,4.4,150.9,0.0,150.9,3.11,7
Черно море Тича,"Иван Карачич, Георги Боянов, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов","Черно море Тича|21,24,3,5,8",1,2.1,129.0,7,3,4,75.0,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,4,5.0,3.9,140.0,103.1,36.9,3.26,3
Миньор 2015,"Филип Бакич, Лазар Станкович, Лъчезар Тошков, Алекс Уандие, Игор Кесар","Миньор 2015|12,16,24,34,8",3,2.1,127.0,3,1,5,20.0,1,4,25.0,0,0,0,0,0,0,1,0,0,1,0,3,6.0,4.8,50.0,63.0,-13.0,1.42,0
Шумен,"Уилям Елис, Джейлън Барр, Андрия Блатанчич, Костадин Лазаров, Баръш Мустафа","Шумен|2,33,4,44,7",1,2.1,127.0,4,0,1,0.0,0,1,0.0,4,6,66.7,0,0,0,1,0,0,2,0,7,5.6,6.0,70.9,116.7,-45.7,1.89,-3
Левски,"Владимир Нанкински, Александър Александров, Златин Георгиев, Седариан Рейнс, Лъчезар Димитров","Левски|1,32,42,44,6",1,2.1,126.0,7,2,2,100.0,0,0,0,3,4,75.0,0,0,0,0,0,0,1,0,2,4.8,4.9,147.1,41.0,106.1,3.33,5
Берое-Стара Загора,"Джален Бенджамин, Кристиян Желев, Милен Захариев, Дейлън Уилямс, Брет Риид","Берое-Стара Загора|13,15,19,7,9",3,2.0,123.0,1,0,0,0,0,0,0,1,1,100.0,0,0,0,2,0,0,2,0,8,2.4,4.4,41.0,180.2,-139.2,0.49,-7
Балкан,"Джамари Блекмон, Джоунс Пагенкопф, Демонд Робинсън, Димитър Димитров, Илиян Пищиков","Балкан|0,10,3,34,7",2,2.0,123.0,0,0,3,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,6.3,0.0,15.8,-15.8,0.0,-1
Шумен,"Мирослав Денчев, Уилям Елис, Костадин Лазаров, Димитър Стамов, Клемен Вуга","Шумен|10,2,44,8,9",1,1.9,117.0,6,1,2,50.0,0,1,0.0,4,4,100.0,0,0,0,1,0,0,2,0,4,5.8,5.0,104.2,80.0,24.2,3.08,2
Спартак Плевен,"Джейлан Макклауд, Виктор Гергов, Ноел Браун, Мартин Сотиров, Джулиен Люйс","Спартак Плевен|1,22,24,4,6",1,1.9,116.0,3,1,4,25.0,0,2,0.0,1,1,100.0,0,0,0,0,0,0,0,0,0,4.4,1.4,67.6,0.0,67.6,1.55,3
Балкан,"Травис Макконико, Тадж Грийн, Константин Тошков, Андрей Иванов, Илиян Пищиков","Балкан|1,12,22,24,7",1,1.8,108.0,4,2,3,66.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3.0,2.8,133.3,108.7,24.6,2.22,1
Локомотив Пловдив,"Девърл Рамзи, Кхалил Милър, Йоанис Кикрилис, Грант Сингълтън, Томислав Минков","Локомотив Пловдив|0,14,21,5,9",2,1.8,105.0,6,0,1,0.0,0,1,0.0,6,8,75.0,0,0,0,0,0,0,0,0,0,4.5,4.0,132.7,0.0,132.7,3.43,6
Черно море Тича,"Иван Карачич, Георги Боянов, Джелани Уотсън-Гейл, Венцислав Петков, Ламонт Уест","Черно море Тича|21,24,3,35,5",1,1.8,105.0,2,1,3,33.3,0,1,0.0,0,0,0,0,0,0,1,0,0,1,0,6,4.0,3.9,50.0,154.6,-104.6,1.14,-4
Академик Бултекс 99,"Джакуез Йоу, Васил Бачев, Асен Великов, Обрад Томич, Райт-Рииво Лаане","Академик Бултекс 99|1,10,13,14,4",1,1.8,107.0,4,1,1,100.0,0,0,0,2,4,50.0,0,0,0,1,0,0,1,0,5,3.8,4.9,106.4,102.5,3.9,2.24,-1
Балкан,"Травис Макконико, Тадж Грийн, Константин Тошков, Илиян Пищиков, Алекс Симеонов","Балкан|1,12,22,7,9",1,1.7,101.0,8,2,5,40.0,0,1,0.0,4,4,100.0,0,0,0,1,0,0,1,0,2,7.8,4.9,103.1,41.0,62.1,4.75,6
Берое-Стара Загора,"Александър Милов, Милен Захариев, Александър Матушев, Николай Иванов, Брет Риид","Берое-Стара Загора|10,19,27,86,9",1,1.7,103.0,2,0,1,0.0,0,0,0,2,2,100.0,0,0,0,0,0,0,1,0,4,2.9,4.8,69.4,84.0,-14.6,1.17,-2
Берое-Стара Загора,"Дешон Пърсънс, Кристиян Желев, Милен Захариев, Дариъс Куинсбери, Карсон Башъм","Берое-Стара Загора|13,15,19,3,7",1,1.7,101.0,2,0,4,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,1,0,3,5.9,3.9,34.0,77.3,-43.3,1.19,-1
