Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Manchester Magic Academy EABL,Oluwademilade Babalola,13,Oluwademilade Babalola,13,31.2,405.8,228.0,17.5,96.0,192.0,50,15.0,46.0,32.6,21.0,32.0,65.6,30.0,109.0,139.0,66.0,52.0,23.0,57.0,21.0,223.8,26.8,27.5,8.0,16.8,158,386.0,29.7,46.5,6,2.0,3,4,63.0,5.8,3,11.91,0.16,11.75,4.7,1.9,98.0,63.0,64.3,10.0,3.0,30,0.0,0.0,0,22.0,26.0,0.0,9.0,40.0,78.0,95.0
Myerscough College EABL,Olivier Esingle,9,Olivier Esingle,13,25.0,325.4,187.0,14.4,73.0,154.0,47.4,11.0,33.0,33.3,30.0,38.0,78.9,13.0,54.0,67.0,63.0,36.0,10.0,37.0,25.0,186.9,28.7,28.7,9.7,10.3,136,323.0,24.8,49.6,2,1.0,4,2,20.5,5.9,2,14.84,2.89,11.95,2.2,1.3,55.0,30.0,54.5,16.0,7.0,43.8,1.0,1.0,100,10.0,21.0,0.0,6.0,34.0,67.0,70.0
Myerscough College EABL,Harry Sheehan,0/11,Harry Sheehan,13,23.9,310.7,157.0,12.1,53.0,154.0,34.4,26.0,98.0,26.5,25.0,34.0,73.5,3.0,25.0,28.0,26.0,14.0,0.0,17.0,12.0,175.6,28.3,25.2,4.2,4.5,55,212.0,16.3,34.1,0,0,0,0,0,0.0,0,4.51,-0.84,5.35,2.1,3.4,26.0,16.0,61.5,5.0,2.0,40,1.0,1.0,100,9.0,6.0,0.0,2.0,27.0,27.0,43.0
Myerscough College EABL,Zach Trezvant,12,Zach Trezvant,13,21.8,283.6,142.0,10.9,60.0,106.0,56.6,7.0,30.0,23.3,15.0,31.0,48.4,46.0,67.0,113.0,28.0,23.0,18.0,43.0,30.0,112.0,19.7,25.0,4.9,19.9,58,200.0,15.4,35.2,8,4.0,4,0,100.0,4.0,2,10.5,0.31,10.19,4.6,2.4,54.0,39.0,72.2,3.0,2.0,66.7,0.0,0.0,0,23.0,15.0,0.0,5.0,46.0,28.0,43.0
Manchester Magic Academy EABL,Harley Blake,7,Harley Blake,13,19.3,251.0,109.0,8.4,45.0,100.0,45,10.0,27.0,37,9.0,10.0,90,12.0,18.0,30.0,30.0,16.0,0.0,32.0,23.0,119.4,23.2,21.2,5.8,5.8,63,172.0,13.2,33.5,2,2.0,3,0,33.3,3.0,1,-0.29,-5.29,5.0,2.6,3.1,35.0,23.0,65.7,12.0,2.0,16.7,2.0,1.0,50,18.0,13.0,0.0,1.0,13.0,21.0,36.0
Myerscough College EABL,Jakub Bobkowski,1/4/5/6,Jakub Bobkowski,13,19.6,255.2,101.0,7.8,31.0,91.0,34.1,11.0,45.0,24.4,28.0,37.0,75.7,15.0,14.0,29.0,19.0,13.0,1.0,31.0,15.0,118.3,23.2,19.8,3.7,5.7,116,217.0,16.7,42.5,0,0.0,1,0,0.0,1.0,1,1.23,-3.86,5.09,2.4,3.8,20.0,12.0,60,4.0,2.0,50,2.0,1.0,50,15.0,13.0,1.0,2.0,7.0,40.0,36.0
Manchester Magic Academy EABL,Tarique Kamal Kazmi,2/5/6,Tarique Kamal Kazmi,13,16.6,215.4,36.0,2.8,15.0,30.0,50,2.0,3.0,66.7,4.0,10.0,40,12.0,18.0,30.0,18.0,6.0,5.0,13.0,21.0,34.0,7.7,8.2,4.1,6.8,105,141.0,10.8,32.0,0,0,0,0,0,0.0,0,-0.58,-6.3,5.72,3.4,4.3,17.0,11.0,64.7,3.0,0.0,0,0.0,0.0,0,6.0,5.0,0.0,2.0,7.0,7.0,6.0
Manchester Magic Academy EABL,David Allotey,11,David Allotey,13,8.4,109.2,31.0,2.4,11.0,33.0,33.3,7.0,20.0,35,2.0,6.0,33.3,5.0,7.0,12.0,4.0,2.0,0.0,14.0,15.0,42.9,19.1,13.9,1.8,5.4,10,41.0,3.2,18.4,0,0,0,0,0,0.0,0,-8.76,-10.65,1.89,3.2,4.7,6.0,3.0,50,2.0,1.0,50,0.0,0.0,0,5.0,6.0,0.0,3.0,3.0,4.0,5.0
BMET City of Birmingham Rockets EABL,Larry Duru,15/16/22,Larry Duru,12,34.3,411.9,306.0,25.5,113.0,219.0,51.6,14.0,37.0,37.8,66.0,121.0,54.5,48.0,114.0,162.0,26.0,15.0,12.0,56.0,33.0,269.0,30.0,34.5,2.9,18.3,60,366.0,30.5,41.2,6,2.0,5,3,47.5,7.3,3,2.72,1.81,0.9,5.0,1.0,84.0,49.0,58.3,21.0,9.0,42.9,0.0,0.0,0,14.0,35.0,1.0,6.0,55.0,34.0,59.0
Charnwood College Riders EABL,Tristan Curran,6,Tristan Curran,12,32.4,389.2,273.0,22.8,98.0,211.0,46.4,11.0,49.0,22.4,66.0,104.0,63.5,24.0,61.0,85.0,57.0,36.0,1.0,46.0,26.0,267.6,34.7,35.2,7.3,10.9,131,404.0,33.7,52.0,35,4.4,19,17,66.1,30.5,8,9.62,3.52,6.11,2.2,1.0,84.0,45.0,53.6,26.0,13.0,50,5.0,3.0,60,19.0,22.0,0.0,5.0,21.0,44.0,83.0
